1,Goalkeeper,Petr,Cech,ARS,196
2,Defender,Hector ,Bellerin,ARS,178
4,Midfielder,Mohamed,Elneny,ARS,181
5,Defender,Sokratis,,ARS,186
6,Defender,Laurent,Koscielny,ARS,186
7,Midfielder,Henrikh,Mkhitaryan,ARS,177
8,Midfielder,Aaron,Ramsey,ARS,178
9,Forward,Alexandre,Lacazette,ARS,175
10,Midfielder,Mesut,Ozil,ARS,180
11,Midfielder,Lucas,Torreira,ARS,168
12,Defender,Stephan,Lichtsteiner,ARS,181
14,Forward,Pierre-Emerick,Aubameyang,ARS,187
15,Midfielder,Ainsley,Maitland-Niles,ARS,177
16,Defender,Rob,Holding,ARS,189
17,Midfielder,Alex,Iwobi,ARS,185
18,Defender,Nacho,Monreal,ARS,179
19,Goalkeeper,Bernd,Leno,ARS,190
20,Defender,Shkodran,Mustafi,ARS,184
23,Forward,Danny,Welbeck,ARS,184
25,Defender,Carl,Jenkinson,ARS,185
26,Goalkeeper,Emiliano,Martinez,ARS,192
27,Defender,Konstantinos,Mavropanos,ARS,192
29,Midfielder,Matteo,Guendouzi,ARS,185
31,Defender,Sead,Kolasinac,ARS,183
34,Midfielder,Granit,Xhaka,ARS,183
49,Forward,Eddie,Nketiah,ARS,175
55,Midfielder,Emile,Smith-Rowe,ARS,182
59,Midfielder,Joe,Willock,ARS,187
1,Goalkeeper,Kepa,Arrizabalaga,CHE,189
2,Defender,Antonio,Rudiger,CHE,191
3,Defender,Marcos,Alonso,CHE,188
4,Midfielder,Cesc,Fabregas,CHE,180
5,Midfielder,Jorginho,,CHE,180
6,Midfielder,Daniel,Drinkwater,CHE,177
7,Midfielder,N'Golo,Kante,CHE,168
8,Midfielder,Ross,Barkley,CHE,189
10,Forward,Eden,Hazard,CHE,173
11,Forward,Pedro,,CHE,169
12,Midfielder,Ruben,Loftus-Cheek,CHE,190
13,Goalkeeper,Willy,Caballero,CHE,186
15,Defender,Victor,Moses,CHE,177
17,Midfielder,Mateo,Kovacic,CHE,178
18,Forward,Olivier,Giroud,CHE,193
20,Forward,Callum,Hudson-Odoi,CHE,182
21,Defender,Davide,Zappacosta,CHE,182
22,Forward,Willian,,CHE,175
24,Defender,Gary,Cahill,CHE,191
27,Defender,Andreas,Christensen,CHE,192
28,Defender,Cesar,Azpilicueta,CHE,178
29,Forward,Alvaro,Morata,CHE,189
30,Defender,David,Luiz,CHE,189
31,Goalkeeper,Robert,Green,CHE,191
33,Defender,Emerson,,CHE,176
44,Defender,Ethan,Ampadu,CHE,175
59,Goalkeeper,Marcin,Bulka,CHE,196
2,Defender,Nathaniel,Clyne,LIV,175
3,Midfielder,Fabinho,,LIV,188
4,Defender,Virgil,van dijk,LIV,193
5,Midfielder,Georginio,Wijnaldum,LIV,175
6,Defender,Dejan,Lovren,LIV,188
7,Midfielder,James,Milner,LIV,175
8,Midfielder,Naby,Keita,LIV,172
9,Forward,Roberto,Firmino,LIV,181
10,Forward,Sadio,Mane,LIV,175
11,Forward,Mohamed,Salah,LIV,175
12,Defender,Joseph,Gomez,LIV,188
13,Goalkeeper,Alisson,,LIV,193
14,Midfielder,Jordan,Henderson,LIV,183
15,Forward,Daniel,Sturridge,LIV,188
18,Defender,Alberto,Moreno,LIV,171
20,Midfielder,Adam,Lallana,LIV,172
21,Midfielder,Alex,Oxlade-Chamberlain,LIV,180
22,Goalkeeper,Simon,Mignolet,LIV,193
23,Forward,Xherdan,Shaqiri,LIV,165
24,Forward,Rhian,Brewster,LIV,180
26,Defender,Andrew,Robertson,LIV,178
27,Forward,Divock,Origi,LIV,185
29,Forward,Dominic,Solanke,LIV,187
32,Defender,Joel,Matip,LIV,195
48,Midfielder,Curtis,Jones,LIV,184
50,Midfielder,Lazar,Markovic,LIV,175
66,Defender,Trent,Alexander-Arnold,LIV,175
73,Goalkeeper,Kamil,Grabara,LIV,190
1,Goalkeeper,Claudio,Bravo,MCI,184
2,Defender,Kyle,Walker,MCI,183
3,Defender,Danilo,,MCI,184
4,Defender,Vincent,Kompany,MCI,193
5,Defender,John,Stones,MCI,188
7,Forward,Raheem,Sterling,MCI,170
8,Midfielder,Ilkay,Gundogan,MCI,180
10,Forward,Sergio,Aguero,MCI,173
14,Defender,Aymeric,Laporte,MCI,191
15,Defender,Eliaquim,Mangala,MCI,187
17,Midfielder,Kevin,De Bruyne,MCI,181
18,Midfielder,Fabian,Delph,MCI,174
19,Forward,Leroy,Sane,MCI,184
20,Midfielder,Bernardo,Silva,MCI,173
21,Midfielder,David,Silva,MCI,170
22,Defender,Benjamin,Mendy,MCI,185
25,Midfielder,Fernandinho,,MCI,179
26,Midfielder,Riyad,Mahrez,MCI,179
30,Defender,Nicolas,Otamendi,MCI,183
31,Goalkeeper,Ederson,,MCI,188
32,Goalkeeper,Daniel,Grimshaw,MCI,185
33,Forward,Gabriel,Jesus,MCI,175
34,Defender,Philippe,Sandler,MCI,190
35,Midfielder,Oleksandr,Zinchenko,MCI,175
47,Midfielder,Phil,Foden,MCI,171
49,Goalkeeper,Arijanet,Muric,MCI,198
55,Forward,Brahim,Diaz,MCI,170
1,Goalkeeper,David,De Gea,MUN,189
2,Defender,Victor,Lindelof,MUN,187
3,Defender,Eric,Bailly,MUN,187
